rating,title,text,asin,parent_asin,timestamp,verified_purchase,helpful_vote,average_rating,main_category,rating_number,price,categories,features,description,images,user_id,Brand,Material,Capacity,Item Dimensions LxWxH,Special Feature,Product Dimensions,UPC,Scent,Number of Items,Unit Count,Item Volume,Item model number,Brand Name,Item Weight,Package Dimensions,Installation Type,Form Factor,Special Features,Color,Voltage,Shelves,Batteries Included?,Batteries Required?,Number Of Doors,Date First Available,Configuration,Number of Doors,Finish Type,Hair Type,Material Feature,Item Form,Material Type Free,Is Discontinued By Manufacturer,Manufacturer,Liquid Volume,Specialty,Package Information,Power Source,Recommended Uses For Product,Style,Age Range (Description),Included Components,Department,Product Benefits,Mounting Type,Skin Type,Package Type,Size,Pattern,Coverage,Occasion,Is Dishwasher Safe,Skin Tone,Plant or Animal Product Type,Expected Blooming Period,Product Care Instructions,Soil Type,Moisture Needs,Number of Pieces,Fabric Type,Ferrule Material,Extension Length,Closure Type,Use for,Type,Shape,Batteries,Connector Type,Exterior Finish,Thread Type,Item Package Quantity,Wattage,Light Color,Head Type,Battery Description,Water Resistance Level,Shade Material,Theme,Country of Origin,Manufacturer recommended age,Domestic Shipping,International Shipping,Flavor,Embellishment,Allergen Information,Number of Blades,Handle Material,Connectivity Technology,Compatible Devices,Keyboard Description,Item Firmness Description,Is Cordless?,Product Grade,Country/Region Of Origin,Sun Protection,Active Ingredients,Model Info,Part Number,Material Type,Sun Protection Factor,Towel form type,Servings per Container,Dosage Form,Tank Volume,Assembly Required,Surface Recommendation,Compatible Material,Dental Floss Type,Tea Variety,Control Method,Special Ingredients,Language,Model Name,Room Type,Surface Recommendation Ceramic,,"Shape Heart, Flower",Operation Mode,Number of Sets,Bristle Material,Light Source Type,Battery Life,Frame Material,Frame Type,Cartoon Character,Body Shape,Hand Orientation,Blade Material,Number of settings,Inner Material,Head Material,Number of pieces,Assembly required,Finish types,Warranty Description,Batteries required,Fragrance Concentration,Reusability,Surface Recommendation Nail,Shape Oblong,Primary Supplement Type,Full Cure Time,Blade Edge,Auto Shutoff,Wireless Communication Technology,Cable Feature,Specific Uses For Product,Sport,Band Width,Band Color,Band Material Type,Max Temperature Setting,Maximum Rotational Speed,Specification Met,Bottle Nipple Type,Filter Class,Is Electric,Seasons,Other display features,Compatible Phone Models,Heater Surface Material,Base Type,Switch Type,Item Hardness,Screen Size,Screen Surface Description,Shell Type,Handle Type,Number of Drawers,Package Weight,Output Current,Output Voltage,Sheet Count,Number of Compartments,Finish,Runtime,Metal Type,Surface Recommendation nail,Band Size,Bowl Material,Is Microwaveable,Maximum Weight Recommendation,Fill Material,Total USB Ports,Target Audience,Number Of Pockets,Human Interface Input,Wireless Communication Standard,Mounting Type Tabletop Mount,Number of Labels,Special features,Headphones Jack,Contact Material,Terminal,Percentage assay,"Material Leather, Polyvinyl Chloride",Back Style,Seat Material Type,Number of Speeds,Liquid Contents Description,Light Type,Bulb Shape Size,Sterility Rating,Controller Type,Paint Type,Manufacturer Part Number,Ply Rating,Lining Description,Pillow Type,Material Polyethylene,Shape Rectangular,Our Recommended age,Alcohol Content,Grit Number,Occupant Capacity,Orientation,Mounting Type Free Standing,Clarity,Number of Compartments 8,Bristle Type,title_cleaned,text_cleaned
1.0,Do not purchase,Bottle arrived damaged and bent up. I had to return it.,B086WK6KMN,B086WK6KMN,2020-08-27 21:45:05.095,True,0,3.7,All Beauty,27,,[],[],[],[],AH6TG6IG55AGFK2UF2D4UGURUYZQ,BULINGNA,"Linen,Plastic",250 Milliliters,1.69 x 5.91 x 10.2 inches,Mist Spray,1.69 x 5.91 x 10.2 inches; 1.59 Ounces,755431778355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,do not purchase,bottle arrived damaged and bent up i had to return it
1.0,Terrible,This gave me a chemical burn. Do not buy.,B08665V1RQ,B08665V1RQ,2021-06-15 11:11:47.729,True,0,4.7,All Beauty,115,22.99,[],[],"['Old Spice Men\'s Deodorant reduces underarm odor for 24 hours. Midnight Run is the scent of preparedness. There will be no ""The odor is coming! The odor is coming!"" when you walk into a room. The only early warning will be the vibrant scent of mandarin orange. Old Spice Men\'s Deodorant overpowers even the burliest stink with overwhelming good-smellingness. Turn the base to raise the deodorant and wipe armpits for long-lasting freshness. Smell like the greatness of America: the first spin-off to become more popular than the original.']","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://m.media-amazon.com/images/I/61gaYcglFaL._SL1600_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/61gaYcglFaL._SL800_.jpg', 'small_image_url': 'https://m.media-amazon.com/images/I/61gaYcglFaL._SL256_.jpg'}]",AGHLDOLCMHGTZ5NCJPEI34T4R3AQ,Old Spice,,,,,6 x 2 x 2 inches; 1.06 Pounds,,Midnight Run,3,3.00 Count,3.8 Fluid Ounces,96505487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,terrible,this gave me a chemical burn do not buy
4.0,Cute little dude!,Very cute little beauty fridge!  It doesn't hold much at all but it will hold quite a few sheet masks and maybe 3-4 bottles of skincare plus my quartz facial roller.  Really cute gift idea for a skincare lover.,B07XY659KF,B0C17MLTNF,2022-08-14 03:48:03.774,True,1,4.4,All Beauty,190,29.97,[],"['Compact beauty mini cooler keeps all your essentials cool and features 2 shelves for your makeup, creams, facial rollers or even food. This unit measures 7.5"" wide x 10.25"" deep x 11"" tall.', ""Store your makeup, creams, cosmetics and rollers. Mini cooler for moisturizers, masks, oils and serums. You can even use it for your medicine, food, beverages and mother's milk."", 'Inside of cooler door features a mini basket perfect for face masks, rollers, stones, ice packs or dermaplanes.', 'Keep all your organic products cool and maintain their shelf life and consistency with this adorable mini cooler cooler.']","['Presenting the Finishing Touch Flawless beauty cooler: the best place to store your beauty essentials! This mini cooler looks gorgeous on your countertop and is perfect for your makeup and cosmetics, skin care, creams, moisturizers, serums, oils, mother\'s milk, medicine, food, drinks and more! Keep your beauty tools cold like your Flawless contour rose Quartz facial roller, Jade facial Massagers and Ye press stones. The compact mini design features 2 shelves, a door basket and includes fun stickers. This mini cool measures 7.5"" Wide x 10.25"" Deep x 11"" Tall and fits 6 cans.']",[],AHNVRX3G2NFXALKATWQKIBDR5OWA,Finishing Touch,,4 Liters,,Compact,"10.25""D x 7.5""W x 11""H",,,,,,,Finishing Touch,5.94 pounds,11.5 x 11.5 x 8.5 inches,Countertop,Compact,Compact,White/Rose Gold,120 Volts,2,No,No,1,"December 29, 2020",Compact Freezerless,1,Glossy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cute little dude,very cute little beauty fridge  it doesnt hold much at all but it will hold quite a few sheet masks and maybe 34 bottles of skincare plus my quartz facial roller  really cute gift idea for a skincare lover
5.0,Exactly what I needed!,Perfect replacement wire for my halo extensions. They came in many different sizes! Recommend!,B07H7B4K6P,B07H7B4K6P,2020-12-18 07:59:47.189,True,0,3.0,All Beauty,9,8.99,[],[],[],[],AEJX66LY6EXWFDQZ2HRIKOL5RAPA,Toygogo,,,,,,,,,,,,,,,Clip-In,,,,,,,,,,,,,Straight,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exactly what i needed,perfect replacement wire for my halo extensions they came in many different sizes recommend
4.0,Four Stars,A deodorant that finally works all day!,B01N32VJJK,B01N32VJJK,2017-09-06 17:17:49.787,True,2,3.5,All Beauty,56,,[],[],[],[],AHLCQVFUMBH267B4OFS7A3U5N6UQ,Meow Meow Tweet,,,,,1.5 x 1.5 x 3.25 inches; 2.4 Ounces,799441998761,Lavender,,,,,,,,,,,,,,,,,,,,,,"Biodegradable, Organic, Gluten Free, Natural",Stick,Gluten Free,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,four stars,a deodorant that finally works all day
1.0,One Star,The cuticle scissors broke on the 2nd use.,B075RSJ4JL,B075RSJ4JL,2018-05-24 00:45:42.017,True,0,4.5,All Beauty,199,,[],[],[],[],AGLNMLMQNAICPBBYSMAM5TEBIHJQ,,,,,,,600150120001,,,,,,,,6.1 x 5.1 x 0.4 inches; 7.2 Ounces,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,one star,the cuticle scissors broke on the 2nd use
5.0,Five Stars,I love this thing I have had it for 2 years I always keep a puck in this,B00B2FJFXU,B00B2FJFXU,2015-08-18 19:47:03.000,True,0,3.7,All Beauty,43,11.99,[],"['Item Package Length: 6.35cm', 'Item Package Width: 6.35cm', 'Item Package Height: 8.89cm', 'Item Package Weight: 0.15 lb']",['Marvy Opal Shaving Mug. Hand made. Made in USA.'],[],AEAJJCMEVLZAZXR25PMM3E26YDKA,,,,,,10 x 5 x 6 inches; 2.4 Ounces,609224024795 885357873176 712166232347,,,,,SYNCHKG035632,,,,,,,,,,,,,,,,,,,,,No,William Marvy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,five stars,i love this thing i have had it for 2 years i always keep a puck in this
1.0,Very Disappointed.,"Very miss leading ad. TWO highlighted in all caps, stated as it was made me think I was purchasing TWO bottles.  Never paid so much for one bottle of Tresemme.  Very Disappointed.",B0046DEFI0,B0046DEFI0,2014-12-22 15:31:36.000,True,3,3.9,All Beauty,53,,[],[],[],[],AFLI2TKJIN4N6W5JBXBZII6SDPWQ,TRESemmé,,,,,2.5 x 2.5 x 10 inches; 4.8 Ounces,741655219514,,1,10 Fl Oz,,,,,,,,,,,,,,,,,,,,,Clay,,No,,10 Fluid Ounces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very disappointed,very miss leading ad two highlighted in all caps stated as it was made me think i was purchasing two bottles  never paid so much for one bottle of tresemme  very disappointed
5.0,Like it,"I wanted to try this product so bad, but it didn't gave me the hold I needed. Smells good",B01AWU8X7Y,B01AWU8X7Y,2019-08-24 14:58:17.453,True,0,3.7,All Beauty,13,9.99,[],"['Made with all natural ingredients for true, touchable curls', 'Shea butter and mango provide ultimate moisture', 'Helps eliminate frizz without weighing down hair', 'Great for all hair types']","['True by Made Beautiful Styling Creme provides stretch, curl elongation, and frizz-free shine. This conditioning styling creme is free of sulfates and parabens.\xa0 True by Made Beautiful Styling Creme is a must have for twisting, Bantu knots, braiding or simply defining your curl pattern; featuring a unique blend of Shea butter that penetrates hair to nourish while chamomile and mango provides ultimate moisture and promotes hair growth.']",[],AHQXBYUTM4HFD7DFSJKENFFPWP4Q,Made Beautiful,,,,,6.4 x 2.2 x 1 inches; 8.8 Ounces,852788006602,Mango,,,,852788006602,,,,,,,,,,,,,,,,,All,,Cream,,No,MADE BEAUTIFUL,8.8 Fluid Ounces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,like it,i wanted to try this product so bad but it didnt gave me the hold i needed smells good
5.0,Great mascara and Eyeliner - Love it!,"Love how this mascara and eyeliner is easy to apply, stays on all day, may flake on the bottom lashes, so ensure you put powder below your eye if you apply it to the bottom lashes.  I just like for the top lashes, will definitely repurchase!",B003I6VOVW,B003I6VOVW,2011-08-20 03:39:40.000,False,2,4.2,All Beauty,4,,[],[],[],[],AF7OCXAX7PLXD2LEFTIXXSJCTTSQ,,,,,,,041554246261,,,,,041554246261,,,,,,,,,,,,,,,,,,,,,,Maybelline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,great mascara and eyeliner  love it,love how this mascara and eyeliner is easy to apply stays on all day may flake on the bottom lashes so ensure you put powder below your eye if you apply it to the bottom lashes  i just like for the top lashes will definitely repurchase
